artista,musica,observacao,tag
B.O.B Feat Bruno Mars,Nothin' on you,,
B B King,The Thrill is gone,,
BI,BE I,sem bateria,kpop
BI,One and Only,sem bateria,kpop
BAAD,Kimi ga Suki da to Sakebitai,Slamdunk sem bateria,anime
BABYMETLA,Catch Me If You Can,,jrock metal 
BABYMETAL,Ijime Dame Zettai,,jrock metal
BABYMETAL,Gimme Chocolate,,jrock metal
BABYMETAL,Headbanger!!!,,jrock metal
BABYMETAL,Karate,,jrock metal
BABYMETAL,Distortion,,jrock metal
BABYMETAL,Pa Pa Ya!!,,jrock metal
BABYMETAL,RATATATA (ft. Electric Callboy),,jrock metal
BABYMETAL,AKATSUKI,,jrock metal
BABYMETAL,Arkadia,,jrock metal
BABYMETAL,Doki Doki Morning,,jrock metal
BABYMETAL,Megitsune,,jrock metal
BABYMETAL,Monochrome,,jrock metal
BABYMETAL,Onedari Daisakusen,,jrock metal
BABYMETAL,Road of Resistance,,jrock metal
BABYMETAL,Rondo Nightmare,,jrock metal
BABYMETAL,Shanti Shanti Shanti,,jrock metal
BABYMETAL,The One,,jrock metal
BABYMETAL,Tamashii no Rufuran,,jrock anime metal
Back Number,Hanataba,sem bateria,jpop
Back Number,Heroine,,jrock
Back Number,Suiheisen,,jrock
Back On,Strike Back,Fairy Tail sem bateria,anime jrock
Back-On,CHEMYxSTORY,Kamen Rider,
Backstreet Boys,As Long As you Love Me,,pop
Backstreet Boys,I Want it that Way,Tell me WHY ain't nothin' but a heartache,pop
Backstreet Boys,Everybody,,pop
Backstreet Boys,Larger than life,,pop
Backstreet Boys,Quit playing games (with my heart),,pop
Bad Religion,21st Century (digital boy),,rock 50s-80s
Bad Religion,American Jesus,,rock 50s-80s
Bad Religion,Fuck you,,rock 50s-80s
Bad Religion,Infected (Guitar Hero Version),,rock 50s-80s
Bad Religion,Inner Logic,,rock 50s-80s
Bad Religion,Los Angeles is burning,,rock 50s-80s
Bad Religion,New Dark Ages,,rock 50s-80s
Bad Religion,No Control,,rock 50s-80s
Bad Religion,Punk Rock Song,,rock 50s-80s
Bad Religion,Sorrow,,rock 50s-80s
Bad Religion,Ten in 2010,,rock 50s-80s
Bad Religion,You,,rock 50s-80s
Bad Omens,The Worst In Me,,Metal
Bad Omens,ARTIFICIAL SUICIDE,,Metal
Bad Omens,Like A Villain,,Metal
Bad Omens,THE DEATH OF PEACE OF MIND,,Metal
Bad Omens ft. Poppy, VAN V.A.N.,Vi-olence... against na-ture.,Metal
Bag raiders,Shooting Stars,,indie pop
Baha Men,Hakuna Matata,Rei Leao EM INGLES, soundtrack
Bakudan Johnny,Tada Hitori,Ping Pong the animation,anime
Band Camaro,Pleasure (pleasure),,
Band Ja Naimon,Metamoriser,Tsugumomo sem bateria,anime
Band Maid,Thrill,,jrock
Band Maid,Afterlife,sem bateria,jrock
Band Maid,Blooming,sem bateria,jrock
Band Maid,Bubble,sem bateria,jrock
Band Maid,Carry on living,sem bateria,jrock
Band Maid,Chemical Reaction,sem bateria,jrock
Band Maid,Choose me,,jrock
Band Maid,Clang,sem bateria,jrock
Band Maid,Corallum,sem bateria,jrock
Band Maid,Dice,,jrock
Band Maid,Diferent,sem bateria,jrock
Band Maid,Dont let me Down,sem bateria,jrock
Band Maid,Fate,sem bateria,jrock
Band Maid,Glory,sem bateria,jrock
Band Maid,HGK,sem bateria,jrock
Band Maid,Hibana,sem bateria,jrock
Band Maid,Honey MUCC COVER,sem bateria,jrock
Band Maid,I Cant Live Without You,sem bateria,jrock
Band Maid,I Still Seek Revenge,sem bateria,jrock
Band Maid,Influencer,sem bateria,jrock
Band Maid,No God,sem bateria,jrock
Band Maid,One and Only,sem bateria,jrock
Band Maid,Onset,,jrock
Band Maid,Play,sem bateria,jrock
Band Maid,Ready to Rock,,jrock
Band Maid,Real Existance,sem bateria,jrock
Band Maid,Rock in me,sem bateria,jrock
Band Maid,Sense,sem bateria,jrock
Band Maid,Smile,sem bateria,jrock
Band Maid,So What,sem bateria,jrock
Band Maid,Spirit,sem bateria,jrock
Band Maid,Start Over,sem bateria,jrock
Band Maid,Summer Drive,sem bateria,jrock
Band Maid,Turn me on,sem bateria,jrock
Band Maid,Warning,sem bateria,jrock
Bang Yong Guk,Yamazaki,sem bateria,kpop
Bang Yong Guk,I Remember,sem bateria,kpop
The Bangles,Walk Like an Egyptian,Jojo,anime
BAP,Bang x2,sem bateria,kpop
BAP,Dystopia,sem bateria,kpop
BAP,Wake me Up,sem bateria,kpop
Barenaked Ladies,One Week,,
Barões da Pisadinha,Já Que Me Ensinou a Beber,sem bateria,brasil
Barões da Pisadinha,Tá Rocheda,sem bateria,brasil
Barões da Pisadinha,Esquema Preferido,sem bateria,brasil
Barões da Pisadinha,Galera do Interior,sem bateria,brasil
Batta,Chase,Jojo's bizarre adventure,anime
The beach boys,Good Vibration,,50s-80s rock
Beastie Boys,Make Some Noise,,rock 50s-80s
Beastie Boys,No Sleep Till Brooklyn,,rock 50s-80s
Beastie Boys,Sabotage,,rock 50s-80s
Beastie Boys,So what'cha want,,rock 50s-80s
Beat Crusaders,Hit in the USA,BECK sem bateria,anime jrock
Beat Crusaders,Tonight Tonight Tonight,Bleach sem bateria,anime jrock
The Beatles,A Hard Days Night,,50s-80s Rock
The Beatles,All You Need is Love,,50s-80s Rock
The Beatles,And Your Bird Can Sing,,50s-80s Rock
The Beatles,Back in the USSR,,50s-80s Rock
The Beatles,Because,,50s-80s Rock
The Beatles,Being for the Benefit of Mr Kite,,50s-80s Rock
The Beatles,Birthday,,50s-80s Rock
The Beatles,Blue Jay Way,,50s-80s Rock
The Beatles,Boys,,50s-80s Rock
The Beatles,Cant Buy me Love,,50s-80s Rock
The Beatles,Come Together,,50s-80s Rock
The Beatles,Day Tripper,,50s-80s Rock
The Beatles,Dear Prudence,,50s-80s Rock
The Beatles,Dig a Pony,,50s-80s Rock
The Beatles,Do You Want to Know a Secret,,50s-80s Rock
The Beatles,Dont Let Me Down,,50s-80s Rock
The Beatles,Drive my Car,,50s-80s Rock
The Beatles,Eight Days a Week,,50s-80s Rock
The Beatles,The End,,50s-80s Rock
The Beatles,Fixing a Hole,,50s-80s Rock
The Beatles,Get Back,,50s-80s Rock
The Beatles,Getting Better,,50s-80s Rock
The Beatles,Girl,,50s-80s Rock
The Beatles,Golden Slumbers,,50s-80s Rock
The Beatles,Good Morning Good Morning,,50s-80s Rock
The Beatles,Hello Goodbye,,50s-80s Rock
The Beatles,Helter Skelter,,50s-80s Rock
The Beatles,Her Majesty,,50s-80s Rock
The Beatles,Here Comes The Sun,,50s-80s Rock
The Beatles,Hey Bulldog,,50s-80s Rock
The Beatles,I am The Walrus,,50s-80s Rock
The Beatles,I Feel Fine,,50s-80s Rock
The Beatles,I Me Mine,,50s-80s Rock
The Beatles,I saw her Standing There,,50s-80s Rock
The Beatles,I Wanna be Your man,,50s-80s Rock
The Beatles,I want to Hold Your Hand,,50s-80s Rock
The Beatles,Im Looking Through You,,50s-80s Rock
